labels	MCF7	MOLT-4	RPMI-8226	SR	K-562	NCI-ADR-RES	MDA-MB-231	HS_578T	MDA-MB-435	MDA-N	BT-549	SF-268	SF-539	SNB-75	U251	COLO_205	HCC-2998	HCT-116	KM12	SW-620	786-O	ACHN	CAKI-1	RXF_393	SN12C	TK-10	UO-31	A549_ATCC	EKVX	HOP-62	HOP-92	NCI-H226	NCI-H23	NCI-H322M	NCI-H460	IGROV1	OVCAR-3	OVCAR-4	OVCAR-8	SK-OV-3	PC-3	DU-145	MALME-3M	M_14	SK-MEL-2	SK-MEL-28	SK-MEL-5	UACC-62	NCI-H522	OVCAR-5	HL-60	HCT-15	T47D	SNB-19	LOX_IMVI	A498	CCRF-CEM	HT29	SF-295	UACC-257
A1CF	-0.258330	-0.058840	0.158550	0.035810	-0.411480	-0.062300	-0.185200	0.077570	0.176470	0.072970	-0.070300	-0.371790	-0.172650	-0.272020	-0.175980	2.289070	0.332830	-0.073240	0.000000	0.523430	-0.105140	-0.214190	0.151170	0.165030	-0.130400	0.130700	0.077880	0.401090	-0.201420	-0.076890	0.357250	0.092660	-0.169670	-0.364240	0.065280	-0.107620	0.363950	0.197590	0.239770	0.272140	0.217280	0.143880	-0.017870	0.172760	0.256440	-0.317150	0.146550	0.021190	-0.334260	-0.285790	0.049660	-0.121280	-0.104150	0.015340	-0.030390	0.139480	-0.097260	-0.242130	0.060730	-0.066670
A2BP1	0.165470	-0.185580	0.109280	-0.035050	-0.041250	0.218080	0.164850	0.168560	0.048560	0.026010	-0.037020	-0.179160	-0.252000	-0.023800	-0.060350	-0.008060	-0.020000	-0.054160	0.135450	-0.082400	-0.279350	-0.215040	-0.129850	0.284800	0.048190	0.131660	-0.141310	0.153210	0.124480	-0.211660	0.403090	-0.199050	-0.257040	-0.004020	-0.155070	-0.017190	0.140120	0.056800	-0.194590	0.465550	-0.017000	0.159340	0.144470	-0.284060	0.026370	0.026280	0.030680	-0.036750	0.077930	0.024460	0.036790	0.138070	-0.033280	0.070650	-0.005060	0.206410	0.063220	-0.128110	0.092740	0.000000
A2M	0.172940	0.115090	0.382930	-0.174190	-0.526840	0.003790	0.061610	-0.042020	-0.080150	-0.121640	0.209580	-0.221430	0.048200	4.922090	-0.158710	-0.182980	-0.108660	-0.060800	0.001010	0.183020	-0.350290	-0.251650	0.022380	0.129480	-0.096330	0.029910	0.000000	0.135790	0.038980	-0.323260	0.377740	-0.346630	-0.022200	-0.241440	-0.034690	-0.015930	0.119180	-0.069820	0.416020	-0.053770	-0.083290	0.049910	3.547700	1.095240	1.180510	3.288050	2.522710	1.097600	-0.316310	-0.267500	0.103480	-0.065150	0.094420	-0.051240	-0.225320	-0.268440	0.308570	-0.110420	0.103390	1.321790
A4GALT	0.900020	-0.077050	-0.068060	-0.396490	0.016480	-0.054610	-0.274850	-0.386560	-0.497380	-0.374980	0.226310	-0.652340	-0.232950	0.349390	-0.103600	-0.086630	0.557830	0.437630	0.315140	-0.535170	0.000000	0.144120	0.313260	-0.064840	0.221260	0.250410	-0.112730	0.018810	0.160420	0.154970	0.359290	-0.099860	-0.341960	0.193040	0.235580	0.815990	-0.041270	0.236550	-0.247090	0.350540	0.431040	-0.008400	0.139660	-0.080040	0.069750	-0.313060	0.078900	0.376260	0.067570	-0.094460	0.181720	0.077260	-0.180400	-0.020210	-0.230850	0.077500	-0.234620	0.251080	-0.123230	-0.071380
A4GNT	0.055000	0.005830	0.243210	0.000000	-0.068110	0.209480	0.002190	-0.022860	0.281700	-0.128270	0.344680	-0.259710	-0.108270	-0.003180	-0.395210	-0.110030	-0.005720	-0.150310	0.107690	0.114770	-0.124110	-0.020660	-0.150460	-0.044870	0.126810	0.054340	0.063210	0.159760	0.038720	-0.239060	-0.025540	-0.120850	-0.017070	-0.129600	0.187970	0.362270	0.127770	-0.111090	-0.038340	0.168360	0.274030	0.205120	-0.054620	0.238140	0.103880	-0.342760	0.076090	0.212970	-0.190590	-0.026790	0.184600	0.131110	0.238920	-0.220350	0.274160	0.034920	0.186530	-0.106010	-0.052460	-0.004710
AAAS	0.428130	0.245430	0.399790	-0.109090	0.319820	0.009990	-0.493860	-0.285240	0.034390	0.062130	-0.272880	-0.317800	-0.412820	-0.196270	-0.223970	-0.110850	-0.097400	0.430280	0.063220	0.306860	-0.195620	0.385120	0.343050	-0.212000	0.172530	-0.077520	-0.270530	0.396700	0.023580	-0.100580	-0.174520	0.039820	-0.295580	-0.167110	0.459130	0.096220	-0.040140	0.258440	-0.223180	-0.057310	-0.061620	0.126790	-0.086240	0.000000	0.114580	-0.366390	0.123660	0.204710	0.164680	-0.108400	0.293980	0.025020	0.130640	-0.082860	-0.047260	-0.202260	0.091580	0.075820	-0.149430	0.194990
AACS	0.768090	-0.308380	-0.052890	0.126660	-1.176270	-0.421110	0.504020	-0.070410	0.059260	-0.085530	-1.474280	0.236000	0.105530	-0.639420	0.331090	2.012410	-0.115050	-0.842310	0.927950	0.509780	-0.436630	0.824320	0.011730	0.186540	-0.093300	-0.008550	0.183020	-0.072060	0.000000	-0.179450	-0.347270	0.074860	0.218410	-0.227050	0.716610	0.194670	0.457700	0.130770	0.098230	-0.578310	0.182740	0.095830	0.404230	0.422500	0.092770	-0.481150	-1.279060	-0.058210	-0.035170	-0.386100	-1.350410	0.354270	0.551330	-0.010330	-0.532010	0.491150	-0.157000	0.599590	-0.142840	-1.155080
AADAC	0.192070	0.171690	-0.151800	-0.088290	-0.207990	0.054920	0.015210	0.055610	-0.004100	-0.216470	0.173370	-0.256070	-0.056520	-0.097110	-0.384320	-0.008670	0.080650	0.287650	-0.176140	-0.161120	-0.053130	0.247050	0.026070	0.117680	0.054580	0.158390	-0.006630	1.122200	0.656490	0.143850	-0.042790	-0.070980	-0.020330	0.214260	1.389690	0.230870	-0.212290	-0.004920	0.042740	0.244950	0.274700	0.215110	0.000000	-0.053280	0.080340	-0.233020	-0.108970	0.212240	0.236620	0.133740	-0.053850	-0.096260	0.109110	-0.125420	-0.183730	-0.019100	-0.104060	0.017800	0.135180	-0.053150
AAK1	-0.000250	0.130210	0.012320	0.086470	-0.223290	-0.050580	0.034310	0.000000	-0.001230	-0.005820	0.120960	-0.088460	-0.107760	-0.036010	-0.105650	-0.095230	-0.216680	-0.106630	0.013530	0.060130	0.049250	-0.024420	0.033630	0.165430	0.118560	0.101580	0.000000	-0.015060	0.106000	0.222270	0.167070	-0.027370	0.000000	0.051870	-0.008580	-0.015900	0.011460	-0.021790	0.027380	0.143070	0.189170	0.064900	0.060090	0.104590	0.075260	-0.110370	-0.010970	-0.018100	0.118040	0.006280	-0.053130	-0.023840	-0.009650	-0.080860	-0.090120	0.030300	-0.016080	-0.096000	0.026960	-0.106070
AAMP	0.614320	0.146990	-0.392830	0.256940	-0.012340	-0.033760	-0.058420	-0.213350	0.500960	0.458100	-0.643510	-0.168030	-0.087710	-0.551830	0.226730	0.183650	-0.146090	0.109970	0.012600	0.251230	-0.275100	0.163830	-0.412460	-0.918700	0.257040	0.180330	-0.308280	0.134100	-0.381960	0.248910	-0.217010	-0.229770	-0.244640	0.037920	-0.149070	-0.405890	0.600430	0.458530	-0.321490	-0.174030	0.032850	-0.204560	0.000000	-0.165650	0.286200	0.599230	0.031480	0.139300	0.283270	-0.196350	-0.017710	0.049490	-0.217780	0.002800	0.402460	-0.175810	-0.295780	0.299530	0.059670	0.240310
